fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
7.4,0.7,0.0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.9,0.6,0.06,2.1,0.08,12,45,0.9974,3.45,0.62,10.0,6
7.3,0.65,0.02,1.8,0.072,14,50,0.9972,3.48,0.61,9.5,5
7.8,0.62,0.03,2.4,0.078,19,59,0.9969,3.36,0.67,9.7,6
6.7,0.58,0.1,1.6,0.07,13,44,0.9967,3.41,0.6,10.2,7
7.5,0.55,0.05,1.7,0.065,11,40,0.9971,3.44,0.59,9.6,5
